text,sentiment,confidence
RT @RealAlexJones: Gavin Newsom Announces Properties Affected By Wildfires Will Be Seized By California Democrats and Used For Climate Change Measures.,NEUTRAL,0.7899267077445984
"Climate change is hitting Egypt, with record high temperatures and scarce rain: Climate professor https://t.co/ylSEeV8my0 https://t.co/YbHSE4lQUt",NEGATIVE,0.5090026259422302
RT @RealAlexJones: Gavin Newsom Announces Properties Affected By Wildfires Will Be Seized By California Democrats and Used For Climate Change Measures.,NEUTRAL,0.7899267077445984
@ANTlWEF Don't forget the hundreds of hookers they brought in to help with climate change at Davos...,NEUTRAL,0.6432955861091614
RT @lib_crusher: The Project 2025 document outlining the case for abolishing the National Weather Service was literally 'by reporting on storms' they became responsible for economic collapse.,NEGATIVE,0.5516259074211121
RT @RealAlexJones: Gavin Newsom Announces Properties Affected By Wildfires Will Be Seized By California Democrats and Used For Climate Change Measures.,NEUTRAL,0.7899267077445984
RT @MJTruthUltra: Hit the nail right on the head. Chemonics International also has big ties to the Bill & Melinda Gates Foundation... Look into it!,NEUTRAL,0.6320628523826599
"RT @govt_corrupt: #WATCH: Bank of Canada says if we enter a recession, it's because of Donald Trump and Climate Change... And whatever happens, it’s his fault.",NEGATIVE,0.6192397475242615
"RT @govt_corrupt: #WATCH: Bank of Canada says if we enter a recession, it's because of Donald Trump and Climate Change... And whatever happens, it’s his fault.",NEGATIVE,0.6192397475242615
"RT @PaulineHansonOz: One Nation will put an end to the climate change gravy train, saving Australians $30 billion every year. We will abolish the unnecessary climate change programs.",NEUTRAL,0.5181329250335693
Scientists warn that global sea levels could rise by over 10 feet by 2100 if climate change continues at this rate. #ClimateCrisis,NEGATIVE,0.7039328813552856
Too many people still believe that climate change is a hoax. Education and awareness are key. #GlobalWarming #ClimateChange,NEGATIVE,0.7071830034255981
Shouldn't we focus more on renewable energy rather than waiting for the world to burn? #ClimateAction #SaveThePlanet,NEUTRAL,0.6029224395751953
"Canada's arctic region is warming faster than the global average, and it's affecting local wildlife. #ClimateChange #Arctic",NEGATIVE,0.5710709095001221
